1, 9
2, 4
3, 6
4, 9
5, 2
6, 2
7, 12
8, 3
9, 10
10, 9
11, 11
12, 10
13, 1
14, 7
15, 9
16, 4
17, 8
18, 1
19, 4
20, 4
21, 5
22, 9
23, 7
24, 5
25, 7
26, 5
27, 7
28, 2
29, 8
30, 4
31, 6
32, 5
33, 5
34, 8
35, 1
36, 2
37, 10
38, 6
39, 7
40, 7
41, 1
42, 7
43, 3
44, 1
45, 10
46, 5
47, 12
48, 2
49, 11
50, 4
51, 2
52, 5
53, 6
54, 3
55, 8
56, 6
57, 2
58, 5
59, 9
60, 5
61, 3
62, 8
63, 8
64, 11
65, 3
66, 1
67, 7
68, 4
69, 6
70, 6
71, 9
72, 1
73, 6
74, 12
75, 3
76, 3
77, 7
78, 11
79, 3
80, 8
81, 11
82, 7
83, 3
84, 9
85, 10
86, 9
87, 7
88, 1
89, 2
90, 4
91, 3
92, 7
93, 1
94, 12
95, 10
96, 11
97, 8
98, 1
99, 10
100, 5
101, 6
102, 2
103, 4
104, 12
105, 5
106, 2
107, 2
108, 10
109, 9
110, 2
111, 2
112, 2
113, 5
114, 8
115, 3
